分類,商品標籤,商品名稱,描述,價格
喇叭,KYPS2000 / 名稱：【KINYO】二件式木質音箱PS2000,【KINYO】二件式木質音箱PS2000,"['◆全木質打造，音質清晰亮麗', '◆鏡亮面板搭配木紋紋理，展現迷人質感', '◆適合可連接具3.5mm插孔的設備播放音樂']",599 元
喇叭,KYPS2100 / 名稱：【KINYO】二件式木質音箱PS2100,【KINYO】二件式木質音箱PS2100,"['◆木質音箱，打造淨透音質。', '◆2.0大喇叭＋P.M.P.O. 大功率。', '◆可連接具3.5mm插孔的設備播放音樂。']",899 元
喇叭,KYPS400 / 名稱：【KINYO】2.0多媒體音箱 PS-400,【KINYO】2.0多媒體音箱 PS-400,"['◆可外接麥克風及耳機，解決線長問題。', '◆簡潔銀黑設計，展現喇叭獨特時尚美感。', '◆可連接具3.5mm插孔設備，多元支援、輕鬆播放音樂。']",349 元
喇叭,KYPS410 / 名稱：【KINYO】2.0多媒體音箱 PS-410,【KINYO】2.0多媒體音箱 PS-410,"['◆可外接麥克風及耳機，解決線長問題。', '◆簡潔銀黑設計，展現喇叭獨特時尚美感。', '◆可連接具3.5mm插孔設備，多元支援、輕鬆播放音樂。']",349 元
喇叭,KYUS170 / 名稱：夜精靈USB迷你喇叭,【KINYO】 夜精靈USB迷你喇叭 US170,"['◆精緻大方的銀黑簡潔設計', '◆適合搭配各式電腦、MP3、iPod、遊樂器、隨身聽..等', '◆可調音量']",199 元
喇叭,KYUS192 / 名稱：US192 USB多媒體擴大音箱,【KINYO】 USB多媒體擴大音箱 US192,"['◆精緻輕巧，不佔空間', '◆貼心耳機輸出孔設計', '◆適合搭配各式電腦、MP3、iPod、遊樂器、隨身聽..等']",199 元
喇叭,SKJP-537PK / 名稱：陶老師(537藍牙型)攜帶式擴音喇叭-粉,陶老師-(537藍牙型)攜帶式擴音喇叭-粉,"['◆高功率芯片/便攜帶擴音器/親巧高工藝好攜帶/使用時間長，高CP值', '◆藍牙 / TF/ USB 播放 / 可聽FM / 高效18650可充電鋰電池', '']",799 元
喇叭,SKSK669BK / 名稱：SK669 2.0聲道USB喇叭,DENGEKI電擊多媒體USB喇叭 (SK-669BK),"['DENGEKI電擊USB多媒體喇叭(SK-669BK)', '◆USB供電\n◆體積小攜帶方便\n◆隨插即用安裝便利，不需插電\n◆最大瞬間輸出功率(PMPO)：400W', '◆具備耳機插孔']",169 元
耳機麥克風,EBEPA109 / 名稱：E-books S42 電競頭戴耳機麥克風,E-books S42 電競頭戴耳機麥克風 E-EPA109,"['‧ 適用:智慧手機/平板電腦/桌上及筆記型電腦、多媒體播放器', '‧ 加贈兩孔轉一孔AV線,新舊款桌機及筆電皆可使用', '‧ 伸縮調整頭戴/可調整至最舒適配戴角度']",484 元
耳機麥克風,EBEPA235 / 名稱：E-BOOKS SS30 立體聲頭戴式耳機麥克風,E-BOOKS SS30 立體聲頭戴式耳機麥克風 E-EPA235,"['◆柔軟材質耳罩，配戴舒適無負擔', '◆可調式麥克風管設計，收音清晰，方便使用', '◆頭戴可自由調整，能與耳部服貼吻合']",419 元
耳機麥克風,EBEPB044 / 名稱：E-books B044 蜂巢仰角麥克風,E-books B044 蜂巢仰角180度麥克風,"['‧採用雙層特殊線材，有效抗噪防干擾', '‧特殊底部防滑材質設計，防止刮傷桌面', '‧麻布編織導線，能有效減少外界電流干擾']",231 元
耳機麥克風,EBEPB130 / 名稱：E-books S60 電競360度全向式麥克風,E-books S60 電競360度全向式麥克風 E-EPB130,"['◆底部止滑設計，增加摩擦不位移', '◆專為電競遊戲設計，加強配重，更穩固', '◆蛇管彎曲設計，自由調整適用角度']",349 元
耳機麥克風,KTSEP-EP55G / 名稱：EP55 耳塞式高音質耳機麥克風 金,耳機/耳麥/麥克風/耳塞式/入耳式/3.5mm/手機/平板/電腦/喇叭/線控器/免持/來電接聽/音樂/TPE外被/接聽鍵/手機耳機/耳機線/運動耳機/隨身耳機,"['◆堅固/耐彎曲/抗壓.TPE外被.耐熱及耐寒材質', '◆線控器調整,音量大小.免持接聽/掛斷.音樂暫停/接聽', '◆適用在具有3.5耳機孔的手機.平板.喇叭']",149 元
耳機麥克風,KTSEP-EP55SL / 名稱：EP55 耳塞式高音質耳機麥克風 銀,耳機/耳麥/麥克風/耳塞式/入耳式/3.5mm/手機/平板/電腦/喇叭/線控器/免持/來電接聽/音樂/TPE外被/接聽鍵/手機耳機/耳機線/運動耳機/隨身耳機,"['◆堅固/耐彎曲/抗壓.TPE外被.耐熱及耐寒材質', '◆線控器調整,音量大小.免持接聽/掛斷.音樂暫停/接聽', '◆適用在具有3.5耳機孔的手機.平板.喇叭']",149 元
耳機麥克風,KTSEP-HB100BK / 名稱：HB100 藍芽V5.1無線/有線折疊行動耳機麥克風,藍牙V5.1 無線藍芽耳機 折疊耳麥 伸縮折疊 隱藏式麥克風 耳機麥克風 AUX3.5輸入音源 耳機通話 音樂撥放 頭戴式,"['◆可連接兩個藍牙裝置.具休眠功能節能省電', '◆具通話、音樂撥放、AUX3.5音源輸入、TF插卡', '◆具調整音量、選曲、暫停、掛斷、播放等功能']",549 元
耳機麥克風,KTSEPHP3R / 名稱：ktnet HP3電腦耳機麥克風 黑紅,全罩式/電腦用/多媒體/立體聲/高仿皮/耳麥/單體喇叭/類電競/立體聲效/防拉扯/扁線/好收納/調音器,"['◆全罩式耳機.紮實外觀結構.類電競造型.視覺優質', '◆優質單體喇叭.黑磁立體聲效.強化低音比重', '◆高仿皮材質製作.柔軟舒適可調式耳弓']",349 元
耳機麥克風,KTSEPHP600 / 名稱：HP600 全罩電腦耳機麥克風,電腦用 全罩式 多媒體 立體聲 PU軟墊 記憶海棉 耳麥 立體聲效 耐摔 耐拉扯 伸縮頭弓 好收納 調音器 降噪,"['◆全罩式耳機.50mm喇叭單體.強化低音', '◆伸縮頭弓.柔軟舒適可調式耳弓', '◆PU軟墊.記憶海棉.耐拉扯防纏繞']",399 元
耳機麥克風,KTSEPHU12TG / 名稱：HU12 USB電腦耳機麥克風 鐵灰,HU12 USB電腦耳機麥克風 7.1聲道模擬音效 獨立線控+USB,"['★支援7.1聲道模擬音效 USB+獨立線控由控制器調整音樂', '★伸縮頭弓 可自由調節 配戴舒適', '★適用各種場所與情境 直播、聊天視訊、遠距教學、錄音錄影、遠端視訊會議']",299 元
耳機麥克風,KTSEPHU500BK / 名稱：HU500 USB7.1音效電腦多媒體耳機麥克,HU500 USB7.1音效電腦多媒體耳機麥克風 全罩式耳機+麥克風 USB介面,"['★全指向性立體聲低音呈現 清晰辨識聲音方位', '★適用於多人會議/遊戲開台/影音響宴/線上教學/聊天視訊/直播銷售', '★線上模擬音效卡控制器 可調整聲音大小/開啟 關閉 麥克風']",499 元
耳機麥克風,KTSPKTV-TK1000 / 名稱：TK1000 宅在家K歌神器雙無線麥克風組,LED背光模組.UHF動圈無線金屬麥克風.全金屬抗震話筒顯示頻率.電量.訊號強度.無線.有線設備.適用K歌軟體,"['◆UHF動圈無線金屬麥克風.防干擾、防嘯叫，信號穩定', '◆LED背光模組，顯示頻率、電量、訊號強度、頻率切換', '◆麥克風無縫連接.全金屬抗震話筒']",2190 元
耳機麥克風,KYAY-0125 / 名稱：【KINYO】直立式桌上型麥克風 AY-0125,【KINYO】直立式桌上型麥克風 AY-0125,"['◆具ON/OFF開關，使用超便利', '◆蛇形金屬軟管設計，質地堅韌耐用', '◆流線時尚造型搭配平穩底座']",129 元
耳機麥克風,KYEM-2101 / 名稱：【KINYO】輕巧耳機麥克風,【KINYO】輕巧耳機麥克風 EM-2101,"['◆小巧攜便輕量化、配戴舒適', '◆隨心旋轉收音麥克風.可線控音量調整', '◆適用MP3/MP4/桌機/筆電/遊戲主機']",149 元
耳機麥克風,KYEM-2119 / 名稱：【KINYO】線控頭罩式耳麥 EM2119,【KINYO】線控頭罩式耳麥 EM2119,"['■ 服貼耳部，配戴舒適', '■ 線控音訊，快速調整音量輸出', '■ 自由調整頭帶/耳麥 ■ 適用電腦/筆電/遊戲主機等']",349 元
耳機麥克風,KYEMP-50BK / 名稱：【KINYO】時尚造型耳機 黑 EMP50,【KINYO】時尚造型耳機 EMP50,"['◆時尚潮流 耳塞式設計', '◆扁平防捲線', '']",69 元
耳機麥克風,KYIPEM-7015 / 名稱：【KINYO】頭戴金屬立體聲耳麥,【KINYO】頭戴金屬立體聲耳麥IPEM7015,"['◆採用高級耳罩，配戴舒適無負擔', '◆折疊式設計，方便好攜帶', '◆伸縮式頭戴，配戴更加舒適服貼']",299 元
耳機麥克風,MMSPSMT-29 / 名稱：MT-29 麥克風夾,麥克風安裝架 麥克風落地架 麥克風安裝夾,"['●適用各品牌麥克風。', '●安裝簡易。', '●堅固耐用。']",100 元
耳機麥克風,SKMLOGG331 / 名稱：羅技 G331 電競耳機麥克風,羅技 G331 電競耳機麥克風,"['◆加大的50公釐單體 清晰的6公釐翻轉靜音麥克風', '◆舒適優質的人造皮革耳墊', '◆清晰的6公釐翻轉靜音麥克風']",1290 元
耳機麥克風,SKMSH-AIRDUOS / 名稱：嘻哈(iSee) Airduos TWS Earbuds V5.0真無線藍牙耳機,iSee Airduos TWS Earbuds V5.0真無線藍牙耳機,"['◆ 耳機雙邊六孔配置，達到6D Hi-Fi高音質聆聽效果', '◆ 超強15小時續航力，耳機連續播放最長4.5小時', '◆ 磁扣型充電倉，提供最佳的手感與耐用性']",890 元
耳機麥克風,SKMSH-IBS-2767BL / 名稱：嘻哈(iSee) BT5.0 雙待機鋁合金,嘻哈部落iSee BT5.0 雙待機鋁合金運動型音樂藍牙耳機 (IBS-2767),"['◆ 藍牙V5.0，磁吸項圈功能，音樂通話隨身走', '◆ 防水係數IPX4，不怕運動時汗水滴落損壞耳機。 雙待機功能，聽音樂時電話不漏接。', '◆ 通話時間最長可達7小時以上，待機時間最長可達120小時以上 支持A2DP藍牙立體聲和AVRCP遠端搖控協定']",599 元
耳機麥克風,SKMSH-IBS-2767GR / 名稱：嘻哈(iSee) BT5.0 雙待機鋁合金,嘻哈部落iSee BT5.0 雙待機鋁合金運動型音樂藍牙耳機 (IBS-2767),"['◆ 藍牙V5.0，磁吸項圈功能，音樂通話隨身走', '◆ 防水係數IPX4，不怕運動時汗水滴落損壞耳機。 雙待機功能，聽音樂時電話不漏接。', '◆ 通話時間最長可達7小時以上，待機時間最長可達120小時以上 支持A2DP藍牙立體聲和AVRCP遠端搖控協定']",599 元
耳機麥克風,SKMSH-IS-MHS191 / 名稱：嘻哈(iSee)入耳式音樂耳機麥克風,嘻哈部落iSee 入耳式音樂耳機麥克風 (IS-MHS191),"['◆內置麥克風, 支援各廠牌3.5mm智慧手機', '◆獨立音量增減及控制按鍵', '']",199 元
耳機麥克風,SKMSH-MHC941B / 名稱：嘻哈〈SEEHOT〉TYPEC 耳機麥克風,嘻哈〈SEEHOT〉智慧型手機專用通話及音樂金屬耳麥(SH-MHC941),"['◆支援各廠牌Type-C智慧手機，具麥克風', '◆接聽/掛斷電話，撥放/停止音樂，調節音量大小 ◆純金屬腔體，專業級音質調校', '◆相容Pad，Android Phones，Notebook，PC，iPad（限指定機型）']",490 元
耳機麥克風,ZEBEPA100BK / 名稱：S33 音控入耳式耳機黑,E-books S33 音控接聽鋁製耳道式耳機　智慧手機專用免持通話接聽鍵，隱藏式麥克風，可線控調整音量,"['◆具音量調節、免持通話接聽、上下曲切換等功', '◆智慧手機專用免持通話接聽鍵，隱藏式麥克風', '◆可線控調整音量']",284 元
網通,LNE8450-AH / 名稱：Linksys 雙頻 E8450 WiFi 6 路由,【WiFi 6】Linksys 雙頻 E8450 WiFi 6 路由器（AX3200）,"['支援範圍廣達 2500 平方英尺，可處理 25 台以上的裝置，速度高達 3.2 Gbps 透過 WiFi 6 技術，讓更多裝置有更大的處理容量', '使用雙頻技術將頻寬加倍，以避免干擾，並將吞吐量最大化 使用智慧手機、平板電腦或電腦透過瀏覽器輕鬆完成設定', '給予訪客 WiFi 存取權，以避免不速之客闖入您的網路和連線裝置']",3990 元
網通,ME-AC12G / 名稱：水星 AC12G AC1200 雙頻無線Gigabit路由器,Mercusys水星網路 AC1200 雙頻無線路由器,"['◆AC12G', '◆4GHz 速率高達 300 Mbps 以及 5GHz 速率高達 867 Mbps', '◆提供高達 60 個設備連線 : 讓多個設備可同時進行網際網路存取，配置 4 根高增益外接天線 : 提供覆蓋全家的強大無線範圍']",799 元
網通,ME-HaloH50G-2P / 名稱：水星 H50G AC1900 Mesh Wi-Fi無線路由器(2入),水星網路 AC1900 Mesh Wi-Fi無線路由器(2入),"['◆Halo H50G(2-pack)', '◆無縫漫遊 – 當您在家中移動時，會自動切換到訊號最好的Halos，永遠提供您的設備最快的連接', '◆1.9 Gbps雙頻WiFi – Halo H50G提供快速而穩定的連線，讓高達100個設備使用最高1,900Mbps的無線傳輸速度']",2300 元
網通,ME-ME30 / 名稱：水星 ME30 AC1200 Wi-Fi 訊號延伸器,Mercusys AC1200 Wi-Fi 訊號延伸器,"['◆ME30', '◆AC1200雙頻 WiFi —高達1.2 Gbps的組合速度，透過強大的 Wi-Fi延伸，讓您的整個家庭保持良好連接', '◆10/100 Mbps 連接埠 — 為電腦、數位電視和遊戲機提供有線連接，適用於任何路由器或基地台網路都可連接']",699 元
網通,ME-MR30G / 名稱：水星 MR30G AC1200 Gigabit 雙頻 WiFi 無線網路路由器(,Mercusys水星網路 MR30G AC1200 Gigabit 雙頻 WiFi 無線網路路由器(Wi-Fi 分享器),"['★1200Mbps的速度，雙頻訊號', '★4x外接高增益天線+波束成型技術，擴大訊號覆蓋面積', '★中文介面，三步驟輕鬆安裝。 ★原廠三年保固，三年換新']",739 元
網通,ME-MR50G / 名稱：水星 MR50G AC1900 無線雙頻路由器,Mercusys水星網路 AC1900 無線雙頻路由器,"['◆AC1900 雙頻 Wi-Fi', '◆2.4GHz 速率高達 600 Mbps 以及 5GHz 速率高達 1300 Mbps', '◆遠距離覆蓋，6隻具有Beamforming 功能的高增益天線加強環境中的穩定連接']",999 元
網通,ME-MR70X / 名稱：水星 MR70X AX1800 無線雙頻 WiFi 6 路由器,水星 AX1800 無線雙頻 WiFi 6 路由器,"['◆MR70X', '◆新一代WiFi 6速率–WiFi 6最高速度可達1.8 Gbps (5 GHz頻段為1201Mbps，2.4GHz頻段為 574 Mbps)', '◆容量提升4倍–OFDMA和MU-MIMO可在多個設備之間同時進行資料傳輸，提高整體網路速率']",1499 元
網通,"ME-MS105G / 名稱：水星 MS105G 5埠 10/100/1,000M桌上型交換器","水星網路 5埠 10/100/1,000M桌上型交換器 GIGABYTE網路交換器 網路集線器","['◆MS105G', '◆5 x 10/100/1,000 Mbps 自動協商 RJ45 連接埠並支援自動 MDI / MDIX', '◆隨插即用，無須任何設定，綠色網路技術節省高達82%能源']",299 元
網通,ME-MS108 / 名稱：水星 MS108 8埠10/100M桌上型交換器,Mercusys水星網路 8埠10/100M桌上型交換器,"['◆MS108', '◆8個10/100Mbps支援自動MDI/MDIX，可自動協商網路連接埠', '◆簡潔的設計適合彈性擺放至任何地點，隨插即用，無須進行設定']",219 元
網通,ME-MU6H / 名稱：水星 MU6H AC650雙頻USB無線網,Mercusys水星網路 AC650雙頻無線網卡,"['◆MU6H', '◆高增益天線：5dBi 高增益天線大幅增加 USB 網卡的靈敏度和傳輸強度', '◆內建驅動：提供 Windows 系統智慧而簡單的安裝']",349 元
網通,ME-MW150US / 名稱：水星 MW150US N150無線微型USB網卡,Mercusys水星網路 N150無線微型USB網卡,"['◆MW150US', '◆帶來必要的網際網路功能，像是瀏覽網頁、email以及聊天', '◆支援 Windows 10/8.1/8/7/XP (32/64bit)']",149 元
網通,ME-MW300RE / 名稱：水星 MW300RE 300M Wi-Fi訊號延伸器,Mercusys水星網路300Mbps Wi-Fi訊號延伸器,"['◆MW300RE', '◆採用MIMO技術的三根外接天線協助MW300RE與傳統訊號延伸器區分開來', '◆訊號延伸器模式可擴增原來難以接收到的無線訊號，透過WPS按鈕簡單2步驟延伸無線覆蓋範圍']",299 元
網通,ME-MW300UM / 名稱：水星 MW300UM N300 無線迷你 USB 網卡,Mercusys水星網路 N300 無線迷你 USB 網卡,"['◆MW300UM', '◆為有線設備提供快速的 300Mbps Wi-Fi 連線', '◆支援 Windows 10/8.1/8/7/XP (32/64bit)']",219 元
網通,ME-MW325R / 名稱：水星 MW325R 300M 加強型無線N路由器,Mercusys水星網路 300Mbps 加強型無線N路由器 可壁掛,"['◆MW325R', '◆覆蓋範圍廣-4隻5dBi天線可提供更廣泛的無線覆蓋範圍，底部有壁掛孔', '◆300Mbps 無線連接速度 - 高畫質影音串流、線上遊戲和檔案下載的理想選擇']",399 元
網通,TOTO-A3700R / 名稱：TOTOLINK A3700R 高功率雙頻Giga無線路由器,TOTOLINK A3700R 高功率雙頻Giga無線路由器,"['A3700R', 'High Power高功率晶片;VPN翻牆功能;全giga埠支援光世代1G傳輸;MOD專用埠;MU-MIMO設備高乘載', '802.11AC同步雙頻;SD-WAN遠端辦公跨區組網;Beamforming訊號雷達;訪客網路手機圖形化設定操作']",1099 元
網通,TOTO-A600UB / 名稱：TOTOLINK AC600 USB藍牙無線網卡,TOTOLINK AC600 USB藍牙無線網卡,"['◆支援 WiFi & 藍牙雙工，一埠雙效同步執行', '◆雙頻無線速度達600Mbps', '◆自帶WiFi驅動程式，免光碟自動安裝\n◆隱藏式天線設計']",499 元
網通,TOTO-A650UA / 名稱：TOTOLINK A650UA 超世代無線網卡,TOTOLINK A650UA 超世代無線網卡,"['◆A650UA', '◆全新一代11AC Wave 2無線標準，效能更優於一般11AC網卡', '◆雙頻訊號隨意收，2.4GHz高相容，5GHz低干擾']",449 元
網通,TOTO-A650USM / 名稱：TOTOLINK A650USM 迷你USB無線網卡,TOTOLINK A650USM 迷你USB無線網卡,"['◆2.4GHz 速度提升 33%，搭配 5GHz 433Mbps ， 雙頻無線速度高達 650Mbps', '◆;2.4GHz大範圍收訊', '◆自帶驅動程式;迷你隱形設計;Windows 10/8/7 作業系統全都包']",379 元
網通,TOTO-A720R / 名稱：TOTOLINK A720R AC1200 雙頻無線路由器,TOTOLINK A720R AC1200 雙頻無線路由器,"['◆802.11ac同步雙頻', '◆壁掛設計自由安裝；迷你不占空間；Beamforming訊號雷達', '◆MOD專用埠；QoS頻寬管理；定時重啟功能；穩定提升網速']",599 元
網通,TOTO-AC500 / 名稱：TOTOLINK AC500 智慧 AP 控制器,TOTOLINK AC500 智慧 AP 控制器,"['TOTOLINK AC500', '◆可同時控管200個AP；提供AP群組管理功能；可同時升級200個AP韌體；支援AP綁定功能；自動偵測、即時監控AP運作狀態', '◆支援AP定時重新啟動排程設定；備有USB 2.0連接埠，搭配儲存設備使用；繁體中文網頁式管理畫面']",1290 元
網通,TOTO-N150USM / 名稱：TOTOLINK N150USM 迷你無線網卡,【TOTOLINK】 (N150USM)極致迷你USB無線網卡 精巧外型，不佔其他USB埠空間，最適合筆記型電腦使用 內建高增益天線，有效增加傳輸速度和範圍,"['◆TOTO LINK (N150USM)極致迷你USB無線網卡', '◆超迷你攜帶方便，不佔用其他USB空間/支援Soft AP功能，支援TX-Burst速度增強技術', '◆備有WPS按鈕，快速設定無線網路/採用CCA技術，自動選擇頻道，避免無線衝突']",139 元
網通,TOTO-N160USM / 名稱：TOTOLINK N160USM 150M迷你USB無線網卡,TOTOLINK N160USM 150M迷你USB無線網卡,"['◆“自帶驅動”;迷你小巧設計', '◆大範圍收訊、穿牆訊號也可收◆Windows 10/8/7作業系統全都包', '◆安全牢固的連接於筆電;拯救筆電無線上網功能\n◆接在電腦上，不影響其他USB裝置使用']",179 元
網通,TOTO-N300UM / 名稱：TOTOLINK N300UM USB無線網卡,【TOTOLINK】 N300UM 極速300MB USB無線網卡 傳輸速率高達300Mbps，卓越的線上遊戲.影音體驗 0.7公分極致輕薄，隨插即用好方便 採用MIMO技術，內建兩根高增益天線，有效提升傳輸速度和距離,"['傳輸速率高達300Mbps，卓越的線上遊戲.影音體驗', '相容Windows/Mac/Linux，作業系統相容性最高', 'WPS一鍵快速連線，同步建立無線加密']",249 元
網通,TOTO-N350RT / 名稱：TOTOLINK N350RT 300Mbps 家用無線分享,TOTOLINK N350RT 300Mbps 家用無線分享,"['N350RT', '無線傳輸速度可達300M；MTK晶片提升效能；MOD專用埠；WPS快速連線；QoS頻寬管理', '定時重啟清理緩存垃圾穩定不當機；家長wifi管理；訪客網路設定安全加倍；']",399 元
網通,TOTO-S505 / 名稱：TOTOLINK S505 5埠網路交換,【TOTOLINK】 S505 五埠家用乙太交換器 5 個 10/100Mbps 自動調整 RJ45 標準乙太網路連接埠 散熱效能佳，穩定不熱當 採用小型外接式電源供應器，符合國際電壓 100V~240V,"['◆TOTOLINK S505 五埠家用乙太交換器', '◆通過ROHS認證，環保節能更省電', '◆支援MAC Address自動儲存與自動汰舊功能']",199 元
網通,TOTO-T6 / 名稱：TOTOLINK T6 Mesh網狀路由器(二入組),TOTOLINK T6 Mesh網狀路由器(二入組),"['◆Mesh組網功能，智慧訊號隨自動連線', '◆出廠前即配對完成，只需連接您的網路來源線', '◆圖形化管理介面，直覺設定不燒腦\n◆網址過濾及鎖定連網設備，兒童上網層層把關']",1690 元
網通,TOTO-T6-1 / 名稱：TOTOLINK T6 Mesh網狀路由器系統-單入,TOTOLINK T6 Mesh網狀路由器系統-單入,"['◆可擴充Mesh組網範圍', '◆T鍵Mesh組網，輕鬆搞定(需搭配雙入T6);MU-MIMO多設備高承載技術', '◆同時擁有AC雙頻2.4G及5G訊號;圖形化管理介面，直覺設定不燒腦;QoS頻寬管理;網址過濾及鎖定連網設備，兒童上網層層把關']",849 元
網通,TOTO-T8 / 名稱：TOTOLINK T8 AC1200 Mesh全覆蓋 Giga路由器系統,TOTOLINK T8 AC1200 Mesh全覆蓋 Giga路由器系統,"['◆擴充性高，場地不受限，可以串聯 4 台 T8', '◆一鍵擴充，輕鬆組成 Mesh 網狀網路、Beamforming 訊號雷達技術，訊號隨時緊抓不放', '◆AC雙頻 2.4GHz及5GHz訊號，傳輸速率高達AC1200 MU MIMO 多設備高承載技術、支援 IPv6 協議，圖形化管理介面']",1990 元
網通,TOTO-X5000R / 名稱：TOTOLINK X5000R AX1800 WiFi 6,TOTOLINK AX1800 WiFi 6 Giga路由器,"['◆最新802.11ax (WiFi 6)技術', '◆AX1800飛奔速度，5GHz 1201Mbps及2.4GHz 574Mbps快速下載\n◆VPN翻牆，全球任我行', '◆雙向MU-MIMO，多人上傳、下載都超順\n◆專業散熱，壁掛設計;OFDMA最高效率利用頻寬']",1999 元
鍵盤,KBLOGK120 / 名稱：羅技 K120 USB鍵盤,羅技 K120 USB有線鍵盤 USB介面 極簡化全尺寸標準鍵盤,"['◆接近無聲的低平式按鍵設計', '◆加粗亮白色字體、清晰易讀的按鍵', '◆戶線型空白鍵，讓手腕更自能擺放']",259 元
鍵盤,KBLOGK360R / 名稱：羅技 K360R 無線鍵盤,羅技 無線鍵盤 K360r 六個快捷鍵以及十二個可自訂的F功能鍵,"['◆共有6個快捷鍵及12個可自訂F功能鍵', '◆安靜無聲的按鍵設計', '◆穩固、可調式傾斜支腳']",899 元
鍵盤,KMLOGMK240BK-Y / 名稱：羅技MK240無線鍵鼠黑-黃邊,羅技 無線滑鼠鍵盤組 MK240 流線型的低平按鍵 防濺灑設計與堅固的傾斜腳架 1000 dpi 的高解析度光學 2.4 GHz 無線技術範圍可達 10 公尺,"['◆流線型的低平按鍵 防濺灑設計與堅固的傾斜腳架', '◆1000 dpi 的高解析度光學', '◆先進的 2.4 GHz 無線技術範圍可達 10 公尺']",679 元
